requestFrequency,transactionIdReuse,nonceReuse,timestampAge,requestInterval,ipChanged,sessionChanged,behaviorDeviation,previousRequestCount,duplicateRequestCount,sessionSequenceDeviation,transactionFrequency,sessionDuration,loginTimeDeviation,deviceDeviation,label
30.337969153832418,0,0,18.065605877535713,0.5331297915007005,1,1,0.8403360344872035,41,0,0.7311064145791599,28.261036650479806,4.3594718856570855,0.7224105697305436,0,SUSPICIOUS_BEHAVIOR
32.418654015700525,0,0,1.3580861217539053,1.4752162217489022,0,0,0.7104199710633154,54,0,0.9615053501503752,21.13451726875768,14.344136471524763,0.6841731336324302,1,SUSPICIOUS_BEHAVIOR
33.380347960123075,1,1,428.3678717793257,1.9049953820258991,1,1,0.7755546609264684,23,17,0.6693845271363833,9.181404184494468,7.752898580403169,0.5189412006978036,1,REPLAY_ATTACK
49.16326874762887,1,1,846.3602868374636,0.7835944471396974,0,0,0.8904007377342191,29,6,0.7792809673197338,18.672829668316716,54.64837400951772,0.5807825185886112,0,REPLAY_ATTACK
49.579038059369296,0,0,0.16129215071281067,0.25323714116711815,0,0,0.8731201765947975,44,0,0.7057713374337661,25.616460969130188,6.573326916450885,0.8778572307895209,1,SUSPICIOUS_BEHAVIOR
11.460951554338456,0,0,79.10443050643065,9.247907098528117,0,1,0.5473974741512914,11,0,0.2788045997228279,3.4392653881112323,60.49073422431474,0.35353971815949425,0,SUSPICIOUS
30.581826207098718,0,0,18.403540687614683,1.1989172516887519,0,0,0.7802454337334497,51,0,0.7171938640380568,20.59478376016428,9.531225726062315,0.7932110199735117,1,SUSPICIOUS_BEHAVIOR
1.2413590789803957,0,0,9.336473351003406,19.92152652322587,0,0,0.0628879942891369,1,0,0.00015826388676882242,2.3314777663214787,264.68726722590964,0.11850494254592206,0,NORMAL
3.4284296963845335,0,0,16.43276442936094,12.73744862418081,0,0,0.025802069319994115,4,0,0.05589922437600194,2.23848225853368,475.53786258807156,0.1395435248817237,0,NORMAL
3.548682237209537,0,0,47.51477050244355,44.5538130680324,0,0,0.01370716628359443,3,0,0.013371224054933972,2.8103341478842534,410.4081270483595,0.160267349950101,0,NORMAL
0.6663518777253075,0,0,30.6401831718743,12.917790296545075,0,0,0.12597430311281882,3,0,0.07509966259933513,2.9406667143081338,262.8057101949507,0.18563969038138534,0,NORMAL
15.03878091806628,1,1,1976.3277893167735,1.017664348634124,0,1,0.7778954196957512,30,12,0.5603848748242872,16.93058307791253,57.89853362381099,0.7661220152943822,1,REPLAY_ATTACK
2.92752877674372,0,0,56.42761161338347,51.12636192578738,0,0,0.14036793591889554,4,0,0.13054967592600925,2.0638366395213703,322.3025634527676,0.16280566938416458,0,NORMAL
